career_id,career_path,category,description,preferred_interests,required_skills,minimum_grade,recommended_courses,certifications,tools,entry_roles,three_year_scenario,five_year_scenario,working_style
C011,Database Administrator,Computing Technology,"Maintains database performance, backups, security and data reliability.",databases; reliability; structured data; performance; systems,SQL; database design; backup and recovery; security; Linux; monitoring; documentation,50,Database Design; SQL Administration; Data Security Basics; Linux Administration,Oracle Database SQL Certified Associate; Microsoft Azure Database Administrator,MySQL; PostgreSQL; SQL Server; Linux; monitoring tools,Database Assistant; Junior DBA; Data Operations Technician,"Monitor database health, optimise queries and manage backup procedures.","Progress into Senior DBA, Data Engineer or Cloud Database Specialist roles.",structured; detail-oriented; operational
C012,Data Engineer,Big Data & Data Science,"Builds pipelines that collect, clean, transform and deliver reliable data for analytics and AI.",data pipelines; cloud data; databases; automation; scalable systems,Python; SQL; ETL; data warehousing; cloud; Spark basics; orchestration,60,Data Engineering with Python; SQL for Analytics; Data Warehousing Fundamentals; Cloud Data Pipelines,Google Professional Data Engineer; AWS Data Engineer Associate,Python; SQL; Airflow; Spark; BigQuery; AWS Glue,Junior Data Engineer; ETL Developer; Data Pipeline Assistant,Maintain reliable pipelines and support data platforms for analytics teams.,"Progress into Senior Data Engineer, Analytics Engineer or Data Platform Lead.",technical; structured; automation-focused
C013,MLOps Engineer,Artificial Intelligence Technology,"Operationalises machine learning models using deployment, monitoring and lifecycle management.",ML deployment; cloud; automation; model monitoring; reliability,machine learning; Python; Docker; CI/CD; cloud; APIs; monitoring; Git,65,MLOps Foundations; Docker and Containers; FastAPI for ML Deployment; Cloud Computing Fundamentals,AWS Machine Learning Specialty; Google Professional Machine Learning Engineer,Docker; Kubernetes; MLflow; FastAPI; GitHub Actions; cloud platforms,ML Operations Assistant; Junior MLOps Engineer; AI Platform Trainee,"Deploy, monitor and retrain ML models while improving pipeline reliability.",Lead AI platform operations or specialise as Senior MLOps Engineer.,technical; operational; reliability-focused
C014,Digital Forensics Analyst,Cyber Security Technology,"Investigates digital evidence from computers, mobile devices and networks.",investigation; cybercrime; evidence analysis; operating systems; law and technology,digital forensics; file systems; Autopsy; chain of custody; report writing; Windows artefacts,55,Digital Forensics Fundamentals; Windows Forensics; Incident Response; Cyber Report Writing,CHFI; CompTIA Security+,Autopsy; FTK Imager; Volatility; Wireshark; Windows Event Viewer,Forensics Assistant; Digital Evidence Technician; Junior Incident Analyst,"Analyse evidence images, produce investigation reports and support incident response cases.","Move into Senior Forensics Analyst, Incident Response Specialist or Cybercrime Investigator roles.",investigative; precise; documentation-heavy
C015,UX Researcher,Cross-Disciplinary Use Case,Studies user behaviour and translates findings into better digital product decisions.,human behaviour; interviews; usability; product design; research,user research; survey design; usability testing; qualitative analysis; communication; prototyping,50,UX Research Methods; Design Thinking; Data Storytelling; Product Analytics,Google UX Design Certificate; Nielsen Norman UX Certification,Figma; Miro; Google Forms; Excel; Notion,UX Research Assistant; Junior Product Researcher; Usability Tester,"Run usability studies, analyse feedback and influence product improvements.","Progress into Senior UX Researcher, Product Strategist or Service Design Consultant.",human-centred; communication-heavy; creative
C016,Product Manager for AI Tools,Cross-Disciplinary Use Case,"Defines AI product goals, coordinates teams and balances user needs with technical feasibility.",AI products; business strategy; user needs; communication; decision-making,product thinking; AI literacy; communication; analytics; roadmap planning; stakeholder management,60,AI Product Management; Product Analytics; Responsible AI Design; Data Storytelling,Certified Scrum Product Owner; AI Product Management Certificate,Jira; Notion; Figma; Analytics dashboards; LLM tools,Associate Product Manager; AI Product Assistant; Business Analyst,"Coordinate AI feature delivery, analyse user metrics and manage product requirements.","Move into AI Product Manager, Product Lead or Innovation Consultant roles.",business-facing; strategic; collaborative
C017,Robotics Simulation Engineer,Computing Technology,"Designs, simulates and tests robotic systems before real-world deployment.",robotics; simulation; automation; engineering; control systems,Python; robotics fundamentals; simulation; control systems; CAD basics; problem solving,60,Robotics Fundamentals; Control Systems Basics; Python Programming; Simulation Modelling,ROS Developer pathway; Robotics Software Engineer Certificate,RoboDK; ROS; Python; MATLAB; SolidWorks,Robotics Intern; Simulation Assistant; Automation Engineer Trainee,"Develop robot simulations, test trajectories and support automation design.","Progress into Robotics Engineer, Automation Specialist or Simulation Lead.",technical; experimental; engineering-focused
C018,Computer Vision Engineer,Artificial Intelligence Technology,"Builds image and video analysis models for detection, recognition and inspection tasks.",images; deep learning; object detection; medical imaging; automation,Python; deep learning; OpenCV; CNNs; model evaluation; data augmentation; GPU basics,65,Deep Learning for Computer Vision; Python Programming; Model Evaluation and Explainability; Responsible AI Design,TensorFlow Developer Certificate; NVIDIA Deep Learning Institute Certificate,Python; OpenCV; TensorFlow; PyTorch; Roboflow; Colab,Computer Vision Intern; Junior AI Vision Developer; Image Analysis Assistant,"Train vision models, improve accuracy and deploy inspection or recognition prototypes.",Become Senior Computer Vision Engineer or Applied AI Specialist in vision systems.,technical; experimental; research-focused
C019,NLP Engineer,Artificial Intelligence Technology,"Develops systems that process, classify, summarise and generate human language.",language; chatbots; text analysis; LLMs; summarisation,Python; NLP; transformers; LLM APIs; text preprocessing; evaluation; prompt engineering,65,Natural Language Processing; LLM Prompt Engineering; AI Agents with Python; Model Evaluation and Explainability,DeepLearning.AI NLP Specialization; Azure AI Engineer Associate,Python; Hugging Face; Groq API; spaCy; LangChain,Junior NLP Developer; Chatbot Developer Assistant; AI Research Intern,"Build text classification, summarisation and assistant systems for business users.","Progress into Senior NLP Engineer, Conversational AI Lead or LLM Application Architect.",technical; research-focused; creative
C020,AI Ethics and Governance Analyst,Cross-Disciplinary Use Case,"Assesses AI risks, fairness, privacy and governance requirements for responsible deployment.",ethics; policy; AI risk; fairness; social impact,AI literacy; ethics; risk assessment; documentation; communication; data protection; critical thinking,55,Responsible AI Design; Data Protection and Privacy; AI Risk Management; Research Methods,IAPP AI Governance Professional; Responsible AI Certificate,Model cards; risk registers; privacy assessment templates; documentation tools,AI Governance Assistant; Responsible AI Analyst; Risk Analyst,"Support AI risk reviews, document ethical issues and create governance recommendations.","Move into AI Governance Consultant, Responsible AI Lead or Technology Risk Manager roles.",critical; communication-heavy; policy-aware
C021,Security Automation Engineer,Cyber Security Technology,"Automates threat detection, response workflows and security operations using scripts and APIs.",cybersecurity; automation; scripting; APIs; SOC workflows,Python; cybersecurity; APIs; SOAR; SIEM; Linux; scripting; incident response,60,Python for Cybersecurity; Security Automation; API Integration; SOC Analyst Training,CompTIA CySA+; Splunk Core User,Python; Splunk; Shuffle SOAR; APIs; Linux; Git,Security Automation Assistant; Junior SOC Automation Engineer; Detection Engineering Trainee,"Automate alert enrichment, response playbooks and reporting workflows.","Progress into Detection Engineer, Security Automation Lead or SOAR Engineer roles.",automation-focused; investigative; technical
C022,Privacy and Data Protection Analyst,Cyber Security Technology,"Supports compliance with privacy regulations, data handling policies and risk assessments.",privacy; compliance; data governance; law and technology; risk,data protection; risk assessment; documentation; communication; information security; data governance,50,Data Protection and Privacy; Cyber Risk Management; Information Security Basics; Professional Report Writing,IAPP CIPP/E; ISO 27001 Foundation,DPIA templates; risk registers; Excel; policy management tools,Privacy Assistant; Compliance Analyst; Data Protection Support Officer,Conduct privacy impact assessments and support governance activities across projects.,"Move into Data Protection Officer pathway, Privacy Consultant or Governance Manager roles.",structured; policy-aware; communication-heavy
C023,Analytics Engineer,Big Data & Data Science,Builds reliable analytics data models that connect raw data pipelines with BI reporting.,data modelling; SQL; analytics systems; dashboards; quality checks,SQL; data modelling; dbt; data warehousing; testing; documentation; BI tools,60,Analytics Engineering; SQL for Analytics; Data Warehousing Fundamentals; Data Quality Testing,dbt Analytics Engineering Certification; Microsoft PL-300,dbt; SQL; BigQuery; Snowflake; Tableau; Git,Junior Analytics Engineer; Data Modelling Assistant; BI Data Developer,Create tested data models and trusted reporting layers for analytics teams.,"Progress into Senior Analytics Engineer, Data Platform Analyst or BI Lead.",structured; technical; business-facing
C024,Research Data Scientist,Big Data & Data Science,"Uses statistics, modelling and experiments to answer complex research or business questions.",statistics; experiments; research; machine learning; evidence-based decisions,Python; statistics; machine learning; experimental design; visualisation; academic writing,65,Advanced Statistics; Machine Learning Fundamentals; Research Methods; Model Evaluation and Explainability,Data Science Professional Certificate; Statistical Learning pathway,Python; R; Jupyter; scikit-learn; Tableau,Junior Data Scientist; Research Assistant; Modelling Analyst,"Design experiments, build predictive models and communicate evidence for decisions.","Progress into Senior Data Scientist, Research Scientist or Analytics Manager roles.",research-focused; analytical; evidence-driven
C025,Technical Business Analyst,Cross-Disciplinary Use Case,"Connects business needs with technical teams through requirements, analysis and process improvement.",business problems; systems; communication; process analysis; documentation,requirements analysis; SQL basics; process modelling; communication; stakeholder management; documentation,50,Business Analysis Fundamentals; SQL Basics; Agile Project Delivery; Data Storytelling,BCS Business Analysis Foundation; Certified ScrumMaster,Jira; Excel; SQL; Miro; Lucidchart,Junior Business Analyst; Systems Analyst Assistant; Project Analyst,"Gather requirements, support system changes and translate business needs into technical tasks.","Move into Senior Business Analyst, Product Owner or Digital Transformation Consultant.",communication-heavy; structured; business-facing
C026,Quality Assurance Automation Engineer,Software Development Use Case,"Automates testing to improve software quality, reliability and release confidence.",testing; automation; software quality; coding; debugging,Python or JavaScript; testing principles; Selenium; APIs; Git; CI/CD; attention to detail,50,Software Testing Fundamentals; Test Automation with Selenium; API Testing; CI/CD Pipelines,ISTQB Foundation; Selenium WebDriver Certification,Selenium; Postman; PyTest; GitHub Actions; Jira,QA Tester; Junior Automation Tester; Software Test Analyst,Create automated test suites and support continuous delivery pipelines.,"Progress into Senior QA Automation Engineer, Test Lead or SDET roles.",detail-oriented; technical; quality-focused
C027,Game AI Developer,Artificial Intelligence Technology,"Creates intelligent behaviours, decision systems and simulation logic for games or virtual worlds.",games; AI behaviour; simulations; programming; interactive systems,Python or C#; algorithms; Unity basics; AI search; simulation; problem solving,55,Game AI Fundamentals; Algorithms and Data Structures; Unity Development Basics; Python Programming,Unity Certified User; Game Development Certificate,Unity; C#; Python; Git; Blender basics,Junior Game Developer; Gameplay Programmer Assistant; Simulation Developer Intern,"Build character behaviours, testing tools and simulation prototypes for interactive projects.","Progress into Gameplay AI Programmer, Simulation Engineer or Technical Game Designer.",creative; technical; experimental
C028,Healthcare Data Analyst,Big Data & Data Science,"Analyses healthcare data to support patient outcomes, service planning and operational decisions.",healthcare; data analysis; public health; statistics; dashboards,Python; Excel; SQL; statistics; data privacy; visualisation; communication,55,Healthcare Analytics; SQL for Analytics; Statistics for Decision Making; Data Protection and Privacy,Health Data Analytics Certificate; Microsoft PL-300,Excel; SQL; Python; Power BI; Tableau,Health Data Assistant; Junior Healthcare Analyst; NHS Data Analyst Trainee,"Create healthcare reports, monitor KPIs and support evidence-based service improvement.","Move into Senior Health Analyst, Public Health Intelligence Analyst or Healthcare BI Specialist.",analytical; socially impactful; structured
C029,Education Technology Specialist,Cross-Disciplinary Use Case,"Designs and evaluates digital learning tools, analytics and AI-supported education workflows.",education; learning technology; AI tutoring; user support; analytics,learning design; data analysis; communication; AI tools; accessibility; product thinking,50,Learning Analytics; AI in Education; UX Research Methods; Responsible AI Design,Instructional Design Certificate; Google Educator Certificate,Moodle; Canvas; Streamlit; Excel; AI tutoring tools,EdTech Assistant; Learning Technology Support; Digital Learning Analyst,"Support learning platforms, analyse engagement and help design AI-assisted student services.","Progress into Learning Technologist, EdTech Product Specialist or Digital Education Consultant.",human-centred; communication-heavy; creative
C030,Prompt Engineer and AI Workflow Designer,Artificial Intelligence Technology,"Designs prompts, workflows and evaluation methods for LLM-powered automation systems.",prompt engineering; AI tools; automation; writing; workflow design,prompt engineering; LLM APIs; evaluation; writing; workflow automation; Python basics; critical thinking,50,LLM Prompt Engineering; AI Workflow Automation; API Integration; Responsible AI Design,Prompt Engineering Certificate; AI Automation Certificate,Groq API; ChatGPT; Flowise; Make.com; Python; Streamlit,Prompt Engineer Assistant; AI Workflow Designer; Automation Specialist Trainee,"Build and evaluate AI workflows for research, reporting and decision support.","Move into AI Automation Consultant, LLM Product Specialist or AI Operations Lead.",creative; communication-heavy; automation-focused
